w,x,y,z
0.820677102,-0.309636533,-0.44225964,-0.19,1511592007280.37
0.813316584,-0.326619893,-0.43975845,-0.2,1511592007328.49
0.81061101,-0.33139959,-0.438863724,-0.2,1511592007378.58
0.810217619,-0.332375407,-0.438098788,-0.2,1511592007421.74
0.811297894,-0.331365615,-0.437603801,-0.2,1511592007478.90
0.812986076,-0.329290599,-0.437044501,-0.2,1511592007525.55
0.813649595,-0.328362048,-0.4369317,-0.2,1511592007563.14
0.814389825,-0.326917887,-0.437021136,-0.2,1511592007613.84
0.814292729,-0.327145189,-0.437125206,-0.2,1511592007645.87
0.814196885,-0.327469021,-0.437229574,-0.2,1511592007695.53
0.814415574,-0.327400893,-0.437057674,-0.2,1511592007744.23
0.81485486,-0.327195436,-0.436429411,-0.2,1511592007780.33
0.815060079,-0.327008486,-0.43637982,-0.2,1511592007814.18
0.815278113,-0.326733828,-0.436330408,-0.2,1511592007846.51
0.815572917,-0.32616207,-0.436453313,-0.19,1511592007882.55
0.816238165,-0.325060546,-0.436430693,-0.19,1511592007912.72
0.817088425,-0.323379785,-0.436482191,-0.19,1511592007946.83
0.818820715,-0.319749027,-0.436742902,-0.19,1511592007978.85
0.8224684,-0.311923176,-0.437392265,-0.19,1511592008014.95
0.829823911,-0.295396239,-0.438926756,-0.18,1511592008051.08
0.840575337,-0.268735975,-0.441215783,-0.16,1511592008097.17
0.853602707,-0.231253251,-0.444093913,-0.14,1511592008147.32
0.868435204,-0.18057777,-0.446467817,-0.12,1511592008197.90
0.881332338,-0.121928386,-0.447857171,-0.09,1511592008247.51
0.890238404,-0.059844214,-0.448207408,-0.05,1511592008300.18
0.893936276,0.007923294,-0.447838515,-0.02,1511592008346.85
0.892988741,0.056940664,-0.446252763,0.01,1511592008398.94
0.886873662,0.119960338,-0.443031549,0.05,1511592008446.14
0.875496566,0.184309274,-0.437072933,0.09,1511592008500.19
0.86127913,0.238798544,-0.430705398,0.13,1511592008546.41
0.839994133,0.301177263,-0.421476036,0.16,1511592008597.98
0.818986535,0.349387378,-0.412914604,0.19,1511592008650.65
0.79172951,0.402473927,-0.400306165,0.23,1511592008699.29
0.770719647,0.436858147,-0.391570121,0.25,1511592008746.94
0.743052483,0.477389395,-0.380100727,0.27,1511592008798.52
0.722124219,0.503642499,-0.373667091,0.29,1511592008847.21
0.694945335,0.53476274,-0.365501612,0.31,1511592008900.79
0.66821593,0.561051071,-0.35874033,0.33,1511592008951.43
0.651081622,0.577199161,-0.353813112,0.34,1511592008998.08
0.639349401,0.587157071,-0.350777507,0.35,1511592009047.25
0.636213005,0.589390337,-0.349640399,0.35,1511592009101.34
0.634881079,0.590373576,-0.349121124,0.36,1511592009147.00
0.634655714,0.590845466,-0.349265337,0.36,1511592009197.66
0.63355875,0.591996133,-0.34883526,0.36,1511592009252.24
0.633812726,0.591674209,-0.348842114,0.36,1511592009296.93
0.633712649,0.592005372,-0.348640949,0.36,1511592009329.69
0.633354783,0.592413068,-0.348509669,0.36,1511592009367.59
0.633899271,0.591906607,-0.348774105,0.36,1511592009401.20
0.634465814,0.591373503,-0.348919302,0.35,1511592009430.76
0.635010779,0.590962708,-0.34902817,0.35,1511592009465.89
0.636092901,0.589845479,-0.349402636,0.35,1511592009500.99
0.638046026,0.587949753,-0.349866718,0.35,1511592009534.12
0.640535235,0.585275769,-0.350925773,0.35,1511592009565.16
0.649634421,0.575528562,-0.355543226,0.35,1511592009601.27
0.662734866,0.561496377,-0.362474024,0.34,1511592009634.36
0.679555953,0.542639315,-0.371095389,0.33,1511592009669.44
0.703777373,0.512500823,-0.384380996,0.31,1511592009714.53
0.736772001,0.465537101,-0.403819501,0.28,1511592009768.00
0.761944234,0.424909353,-0.417866051,0.25,1511592009813.83
0.78770262,0.376398295,-0.432636559,0.23,1511592009865.99
0.791770041,0.367709816,-0.435178131,0.22,1511592009880.08
0.791770041,0.367709816,-0.435178131,0.22,1511592009880.08
0.791770041,0.367709816,-0.435178131,0.22,1511592009880.08
0.791770041,0.367709816,-0.435178131,0.22,1511592009880.08
0.869013011,0.105145633,-0.480292618,0.06,1511592010115.63
0.872268677,0.064902499,-0.483755589,0.03,1511592010152.21
0.873347342,0.027464192,-0.486249894,0.01,1511592010179.79
0.872504652,-0.025477627,-0.487418264,-0.02,1511592010232.99
0.868442178,-0.079075657,-0.486088872,-0.06,1511592010282.13
0.863778055,-0.114131302,-0.484078586,-0.08,1511592010330.32
0.855182707,-0.160107091,-0.480391979,-0.11,1511592010384.37
0.848664522,-0.188279137,-0.477223158,-0.13,1511592010422.63
0.837535977,-0.231952295,-0.469903946,-0.15,1511592010482.78
0.83107239,-0.256806999,-0.463912934,-0.17,1511592010534.77
0.827095628,-0.269863784,-0.461137474,-0.17,1511592010583.90
0.823401034,-0.28123197,-0.458358556,-0.18,1511592010635.02
0.821337879,-0.288388222,-0.456255198,-0.18,1511592010683.22
0.81972754,-0.293660998,-0.455117792,-0.19,1511592010732.38
0.819324076,-0.296197116,-0.45403865,-0.19,1511592010782.47
0.819716632,-0.296293646,-0.453401476,-0.19,1511592010834.64
0.820596457,-0.295530081,-0.452522904,-0.19,1511592010884.74
0.821253061,-0.294275343,-0.45231542,-0.19,1511592010919.87
0.821658075,-0.293054938,-0.45249033,-0.19,1511592010967.98
0.82189393,-0.292577714,-0.452538311,-0.18,1511592011003.01
0.822484136,-0.291826665,-0.452254027,-0.18,1511592011051.22
0.822903991,-0.291098714,-0.452184021,-0.18,1511592011085.29
0.823241651,-0.290656954,-0.45203343,-0.18,1511592011117.40
0.823820233,-0.289989293,-0.451623231,-0.18,1511592011150.47
0.82699734,-0.283184022,-0.451867849,-0.18,1511592011201.11
0.830489337,-0.274909198,-0.452549368,-0.17,1511592011235.70
0.836694121,-0.258535296,-0.454190105,-0.16,1511592011284.81
0.843015671,-0.24086836,-0.455512285,-0.15,1511592011314.92
0.857810438,-0.193360999,-0.45769313,-0.13,1511592011368.03
0.866064191,-0.161988452,-0.458289295,-0.12,1511592011399.21
0.878041446,-0.105886132,-0.457804859,-0.09,1511592011449.36
0.884962678,-0.062122397,-0.456539541,-0.07,1511592011500.93
0.890193462,-0.001353825,-0.454369396,-0.03,1511592011551.61
0.890745878,0.049431693,-0.451773912,-0.01,1511592011598.72
0.888566375,0.097169429,-0.447743028,0.02,1511592011650.88
0.885784566,0.128674909,-0.443722129,0.04,1511592011700.51
0.880025089,0.169438034,-0.438179642,0.07,1511592011749.16
